region_id,nm_per_pixel_SEM,roi_SEM_x,roi_SEM_y,roi_SEM_width,roi_SEM_height,acceleration_voltage_kV,working_distance_mm
region_1,0.2436,240,250,700,560,4,6.4
region_2,0.2436,240,250,700,560,4,6.4
region_3,0.2436,240,250,700,560,4,6.4
region_4,0.2436,240,250,700,560,4,6.4
region_5,0.2436,240,250,700,560,4,6.4
region_6,0.2436,240,250,700,560,4,6.4
region_7,0.2436,240,250,700,560,4,6.4
region_8,0.2436,240,250,700,560,4,6.4
region_9,0.2436,240,250,700,560,4,6.4
region_10,0.2435,240,250,700,560,4,6.4
region_11,0.2435,280,250,700,560,4,6.4
region_12,0.2435,240,250,700,560,4,6.4
region_13,0.2435,240,250,700,560,4,6.4
region_14,0.2435,240,250,700,560,4,6.4
region_15,0.2435,240,250,700,560,4,6.4
region_16,0.2435,240,250,700,560,4,6.4
region_17,0.2435,240,250,700,560,4,6.4
region_18,0.2435,240,250,700,560,4,6.4
region_19,0.2435,240,250,700,560,4,6.4
region_20,0.2435,240,250,700,560,4,6.4
region_21,0.2435,240,250,700,560,4,6.4
region_22,0.2435,240,250,700,560,4,6.4
region_23,0.2435,220,250,700,560,4,6.4
region_24,0.2435,220,250,700,560,4,6.4
